model,group,n,n_depressed,n_control,accuracy,f1,roc_auc
RADAR MERF-GBR,middle gender_0,213,90,123,0.5868544600938967,0.10204081632653061,0.7465672990063233
RADAR MERF-GBR,middle gender_1,314,117,197,0.6305732484076433,0.04918032786885246,0.6250813484316022
RADAR MERF-GBR,older gender_0,166,6,160,0.9457831325301205,0.0,0.44010416666666663
RADAR MERF-GBR,older gender_1,623,134,489,0.7865168539325843,0.06993006993006994,0.5387556084607636
RADAR MERF-GBR,young gender_0,54,23,31,0.6111111111111112,0.16,0.6633941093969143
RADAR MERF-GBR,young gender_1,575,297,278,0.4852173913043478,0.05128205128205128,0.5740861855969771
Androids MERF-GBR,middle female,23,13,10,0.43478260869565216,0.0,0.4307692307692308
Androids MERF-GBR,middle male,2,0,2,1.0,0.0,
Androids MERF-GBR,older female,8,0,8,1.0,0.0,
Androids MERF-GBR,older male,6,4,2,0.3333333333333333,0.0,1.0
Androids MERF-GBR,young female,4,2,2,0.5,0.0,0.0
