model,fold,mae,rmse,r2,accuracy,f1,roc_auc,wilcoxon_p_vs_train_mean_baseline
RADAR MERF-RF,1,5.612229693618064,6.851597561004864,-0.024528551856698888,0.5228310502283106,0.19718309859154928,0.6346194925328775,3.6415775536600207e-13
RADAR MERF-RF,2,5.225532703454953,5.991826500642646,-0.06439522162607214,0.6210045662100456,0.17275747508305647,0.5258393285371702,1.4869519740091685e-08
RADAR MERF-RF,3,5.269453205478327,6.292124042781293,-0.002918891750960384,0.5692541856925418,0.19373219373219372,0.5044585302965191,0.4864723535744411
RADAR MERF-RF,4,4.652624632870243,5.72679688023017,-0.01716192789287696,0.4726027397260274,0.08211920529801324,0.6129896887993884,0.0008773672489089645
RADAR MERF-RF,5,4.360025336977784,5.353666047946058,-0.025274875582194545,0.6377473363774734,0.19047619047619047,0.5987361888715109,6.98045932317342e-15
Androids MERF-RF,1,10.008055749586344,13.86062345538458,0.20103351373833478,0.5882352941176471,0.0,0.8142857142857143,0.01869782816523351
Androids MERF-RF,2,13.57208954928164,15.025962152455483,-0.047886180171369475,0.48484848484848486,0.19047619047619047,0.7819548872180451,0.6230571193910049
Androids MERF-RF,3,10.949589477111129,12.997732253568977,-0.15428454586929763,0.36363636363636365,0.0,0.7301587301587302,0.35731825964717756
Androids MERF-RF,4,11.974491121682489,14.913975583415187,-0.276374219483412,0.5454545454545454,0.21052631578947367,0.5661764705882353,0.3212066634939138
Androids MERF-RF,5,12.358692530156377,16.967168275687023,-0.0068552934521339814,0.48484848484848486,0.0,0.5955882352941176,0.06965249006843612
