model,group,n,n_depressed,n_control,accuracy,f1,roc_auc
RADAR MERF-RF,middle gender_0,213,90,123,0.6150234741784038,0.4605263157894737,0.6738934056007226
RADAR MERF-RF,middle gender_1,314,117,197,0.6305732484076433,0.06451612903225806,0.6171200485921298
RADAR MERF-RF,older gender_0,166,6,160,0.8012048192771084,0.10810810810810811,0.5760416666666667
RADAR MERF-RF,older gender_1,623,134,489,0.7897271268057785,0.15483870967741936,0.5277447120227086
RADAR MERF-RF,young gender_0,54,23,31,0.6666666666666666,0.4,0.6283309957924264
RADAR MERF-RF,young gender_1,575,297,278,0.5008695652173913,0.11692307692307692,0.5871181842404865
Androids MERF-RF,middle female,23,13,10,0.43478260869565216,0.0,0.6307692307692307
Androids MERF-RF,middle male,2,0,2,1.0,0.0,
Androids MERF-RF,older female,8,0,8,1.0,0.0,
Androids MERF-RF,older male,6,4,2,0.3333333333333333,0.0,1.0
Androids MERF-RF,young female,4,2,2,0.5,0.0,0.0
