model,fold,mae,rmse,r2,accuracy,f1,roc_auc,wilcoxon_p_vs_train_mean_baseline
RADAR MERF-SVR,1,7.173439161065876,9.089826851689711,-0.8032319553557667,0.4764079147640791,0.0,0.6414782859053422,1.2621297133980928e-28
RADAR MERF-SVR,2,4.85506589577506,6.023545502522504,-0.07569425239686,0.634703196347032,0.0,0.5167091326938449,1.8451818744545327e-06
RADAR MERF-SVR,3,5.962689895207365,7.512659783032808,-0.42974538862729106,0.5449010654490106,0.0,0.5046733992264719,2.164142952945333e-10
RADAR MERF-SVR,4,6.262246223892069,7.719688066145142,-0.8482726655196291,0.4611872146118721,0.0,0.5649414517722959,5.454001713998243e-40
RADAR MERF-SVR,5,4.5166983678433885,6.038435777670927,-0.3043275396164984,0.6415525114155252,0.0,0.5225347749544771,0.39579658618355995
Androids MERF-SVR,1,9.820105394201747,13.143199190932089,0.28160183967855756,0.5882352941176471,0.0,0.7428571428571429,0.005451865304515232
Androids MERF-SVR,2,12.525869339945672,14.308291652718786,0.049821718089242184,0.42424242424242425,0.0,0.7593984962406015,0.19503358256941572
Androids MERF-SVR,3,11.69731964832912,14.126749242022935,-0.36352209777570277,0.36363636363636365,0.0,0.7222222222222222,0.12208986201084161
Androids MERF-SVR,4,10.783391394127992,13.864084976837319,-0.10299512101114083,0.48484848484848486,0.0,0.7352941176470588,0.7955069493632605
Androids MERF-SVR,5,13.486185833408864,17.69758533955814,-0.09540912394395495,0.5454545454545454,0.21052631578947367,0.5073529411764706,0.9358945410647527
