model,group,n,n_depressed,n_control,accuracy,f1,roc_auc
RADAR MERF-SVR,middle gender_0,213,90,123,0.5774647887323944,0.0,0.6561878952122855
RADAR MERF-SVR,middle gender_1,314,117,197,0.6273885350318471,0.0,0.4077834179357022
RADAR MERF-SVR,older gender_0,166,6,160,0.963855421686747,0.0,0.48541666666666666
RADAR MERF-SVR,older gender_1,623,134,489,0.7849117174959872,0.0,0.5450966028751946
RADAR MERF-SVR,young gender_0,54,23,31,0.5740740740740741,0.0,0.6171107994389902
RADAR MERF-SVR,young gender_1,575,297,278,0.4834782608695652,0.0,0.5336579221471307
Androids MERF-SVR,middle female,23,13,10,0.43478260869565216,0.0,0.7538461538461538
Androids MERF-SVR,middle male,2,0,2,1.0,0.0,
Androids MERF-SVR,older female,8,0,8,1.0,0.0,
Androids MERF-SVR,older male,6,4,2,0.3333333333333333,0.0,1.0
Androids MERF-SVR,young female,4,2,2,0.5,0.0,1.0
