model,fold,n_rows,mean_phq8,median_phq8,mean_bdi,median_bdi
RADAR MERF-GBR,1,1314,10.753424657534246,10.0,,
RADAR MERF-GBR,2,1314,7.901065449010654,7.0,,
RADAR MERF-GBR,3,1314,9.326484018264841,9.0,,
RADAR MERF-GBR,4,1314,10.206240487062406,10.0,,
RADAR MERF-GBR,5,1314,8.254185692541856,7.0,,
Androids MERF-GBR,1,34,,,16.88235294117647,12.0
Androids MERF-GBR,2,33,,,14.515151515151516,7.0
Androids MERF-GBR,3,33,,,18.393939393939394,17.0
Androids MERF-GBR,4,33,,,17.90909090909091,14.0
Androids MERF-GBR,5,33,,,17.78787878787879,9.0
