model,fold,mae,rmse,r2,accuracy,f1,roc_auc,wilcoxon_p_vs_train_mean_baseline
RADAR MERF-GBR,1,5.674715771385105,6.895897557999752,-0.03781985748900474,0.487062404870624,0.05337078651685393,0.6206581098149937,1.5138135714962582e-12
RADAR MERF-GBR,2,5.296318621100781,6.073412727497524,-0.09357871272084362,0.621765601217656,0.16188870151770657,0.519613059552358,0.5451383705569961
RADAR MERF-GBR,3,5.281709938913362,6.291242432763631,-0.0026378669672932897,0.5593607305936074,0.11603053435114503,0.5117652416808355,0.16503011046935367
RADAR MERF-GBR,4,4.648352625013202,5.7277481860373145,-0.017499887292541372,0.4642313546423135,0.011235955056179775,0.6043006843057187,7.730239296721718e-09
RADAR MERF-GBR,5,4.437139719592027,5.411080387399201,-0.04738351098985327,0.6423135464231354,0.17832167832167833,0.5875852845841738,0.0009718435180238156
Androids MERF-GBR,1,10.814502058590818,14.978192202881358,0.06699959935523847,0.5882352941176471,0.0,0.6857142857142857,0.15329112145464618
Androids MERF-GBR,2,13.235107945975464,15.180843924562422,-0.06959992091321543,0.48484848484848486,0.19047619047619047,0.8195488721804511,0.5374091857692143
Androids MERF-GBR,3,10.679430816096655,12.183712868331664,-0.014231323528466788,0.36363636363636365,0.0,0.6111111111111112,0.6485516560473987
Androids MERF-GBR,4,12.151266451469617,15.559653738185563,-0.3892839684492113,0.6060606060606061,0.38095238095238093,0.6617647058823529,0.49137019627278977
Androids MERF-GBR,5,12.19259496896122,17.36086395005073,-0.05412227571321204,0.48484848484848486,0.0,0.5808823529411765,0.06965249006843612
