dataset,site,model,backbone,approach,eval_protocol,n_rows,n_groups,accuracy_mean,accuracy_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,source_model
Androids,,Wav2Vec2 (Androids),wav2vec2,linear_probe,5fold_group_cv,224,115,0.9369696969696972,0.0691369685210745,0.9390692640692642,0.0699514391418005,0.9688756910800798,0.0356442881829162,
Androids,,HuBERT (Androids),hubert,linear_probe,5fold_group_cv,224,115,0.9282828282828284,0.0604290343884687,0.9289130434782608,0.0653713962654573,0.979699593335957,0.0282472351036583,
Androids,,Whisper (Androids),whisper,linear_probe,5fold_group_cv,224,115,0.8305050505050506,0.0574977319968106,0.8422015182884748,0.0411850150365625,0.9402759742521498,0.0379231880867621,
Androids,,Kintsugi Health (Androids),kintsugi_whisper,dam_whisper_head,held_out_test,118,70,0.8461538461538461,,0.8333333333333334,,0.9642857142857144,,DAM-like Whisper (HC/PT)
RADAR,KCL,Wav2Vec2 (RADAR-KCL),wav2vec2,linear_probe,5fold_group_cv,8509,274,0.5683397683397683,0.0287124359083878,0.5176890132571631,0.0277226073751757,0.5910667833334926,0.0289948067920341,
RADAR,KCL,HuBERT (RADAR-KCL),hubert,linear_probe,5fold_group_cv,8509,274,0.5889085773143744,0.0338725527186307,0.540640276899137,0.0247301510965522,0.6199292787830608,0.0477154861454438,
RADAR,KCL,Whisper (RADAR-KCL),whisper,linear_probe,5fold_group_cv,8509,274,0.5906715549227627,0.0402985002480219,0.5363708060859432,0.0323551186446476,0.6194534799851076,0.0468055656973314,
RADAR,KCL,Kintsugi Health (RADAR-KCL),kintsugi_whisper,dam_whisper_head,held_out_test,8509,274,0.6415678184631253,,0.4335778321108394,,0.6195218038775602,,DAM-like Whisper (RADAR - KCL)
RADAR,CIBER+IISPV,Wav2Vec2 (RADAR-CIBER+IISPV),wav2vec2,linear_probe,5fold_group_cv,2224,116,0.5489958497823666,0.0381250630093515,0.6148797336800433,0.0869956454527475,0.5469927973508784,0.012465736382029,
RADAR,CIBER+IISPV,HuBERT (RADAR-CIBER+IISPV),hubert,linear_probe,5fold_group_cv,2224,116,0.555306205081486,0.0303214187914585,0.6091891623113501,0.1065190444821127,0.5504066170757345,0.0471790363168255,
RADAR,CIBER+IISPV,Whisper (RADAR-CIBER+IISPV),whisper,linear_probe,5fold_group_cv,2224,116,0.5687974491345278,0.028877960348959,0.6300013755718108,0.0792659265475509,0.560552061633521,0.0509923038595528,
RADAR,CIBER+IISPV,Kintsugi Health (RADAR-CIBER+IISPV),kintsugi_whisper,dam_whisper_head,held_out_test,2222,116,0.6970588235294117,,0.7885010266940452,,0.6483494444667282,,DAM-like Whisper (RADAR - CIBER_IISPV)
RADAR,VUmc,Kintsugi Health (RADAR-VUmc),kintsugi_whisper,dam_whisper_head,held_out_test,3153,107,0.6553755522827688,,0.3389830508474576,,0.6254452214452215,,DAM-like Whisper (RADAR - VUmc)
