dataset,model,display_name,model_category,workbook_family,accuracy_mean,accuracy_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,mae_mean,mae_std,rmse_mean,rmse_std,r2_mean,r2_std
Androids,Androids SVC,Support Vector Classifier,classifier,svm,0.6992063492063492,0.1012643676681687,0.7517189917189917,0.07323200013746946,0.8127220573544103,0.1097843925115938,,,,,,
Androids,Androids RFC,Random Forest Classifier,classifier,random_forest,0.6531746031746032,0.09579861509210418,0.7096264975334743,0.103543339672818,0.7422029604382546,0.1221960407471056,,,,,,
Androids,Androids MERF-RF,ME RFRegressor,merf,merf_rf,0.4934046345811052,,0.08020050125313283,,0.6976328075089686,,11.77258368556359,,14.75309234410225,,-0.05687334504757566,
Androids,Androids MERF-SVR,ME SVRegressor,merf,merf_svr,0.481283422459893,,0.04210526315789474,,0.6934249840286992,,11.66257432200268,,14.62798208041385,,-0.04610055699259976,
Androids,Androids SVR,Support Vector Regressor,regressor,svm,0.4691622103386809,0.08340265163920293,0.09696969696969697,0.2168308341817978,0.6873092043835078,0.1026361433776762,11.69888542925115,1.445045160382281,14.65969761372301,1.781258099431407,-0.05074727461689068,0.2385019222011304
Androids,Androids MERF-GBR,ME GBRegressor,merf,merf_gbr,0.5055258467023174,,0.1142857142857143,,0.6718042655658756,,11.81458044821875,,15.05265333680235,,-0.09204757784977342,
Androids,Androids GBC,Gradient Boosting Classifier,classifier,gradient_boosting,0.6888888888888889,,0.65,,0.6706349206349206,,,,,,,
Androids,Androids GPBoost,GPBoost,classifier,gradient_boosting,0.6046511627906976,,0.6530612244897959,,0.5714285714285714,,,,,,,
RADAR,RADAR SVC,Support Vector Classifier,classifier,svm,0.5776255707762558,0.03879412808503176,0.3601990913505399,0.03838861879477373,0.5839509786442395,0.0329043552898916,,,,,,
RADAR,RADAR RFR,Random Forest Regressor,regressor,random_forest,0.5748858447488585,0.03085056075566837,0.4172909441598475,0.04321936933514142,0.5817655594026029,0.03677770349931089,4.980124140637786,0.498084282346356,6.017368787938193,0.5064123070809007,-0.01984542847001751,0.03904670500331894
RADAR,RADAR RFC,Random Forest Classifier,classifier,random_forest,0.5786910197869102,0.03573462548755969,0.4189015140287415,0.05042004457550744,0.5781604175793211,0.0392287744578677,,,,,,
RADAR,RADAR SVR,Support Vector Regressor,regressor,svm,0.5779299847792998,0.04614031673869862,0.2768324141172477,0.04719201470316987,0.5765492326845739,0.03858917716017655,4.953496953300912,0.5378907305243972,6.04864168034133,0.610551329361002,-0.02781108837423665,0.03067854241741384
RADAR,RADAR MERF-RF,ME RFRegressor,merf,merf_rf,0.5646879756468797,0.06848680843289837,0.1672536326362006,0.04851375403583814,0.5753286458074933,0.05690658470986847,5.023973114479874,0.5063740939087229,6.043202206521006,0.5686996213644513,-0.02685589374176058,0.02282580948654169
RADAR,RADAR MERF-GBR,ME GBRegressor,merf,merf_gbr,0.5549467275494673,0.07898538866225932,0.1041695311527127,0.0710420456084522,0.568784475987616,0.04993687670153497,5.067647335200895,0.5099003208585409,6.079876258339485,0.5661029709140578,-0.03978396709190726,0.03475592905621767
RADAR,RADAR GBC,Gradient Boosting Classifier,classifier,gradient_boosting,0.6154241645244216,,0.322463768115942,,0.5543953375424964,,,,,,,
RADAR,RADAR MERF-SVR,ME SVRegressor,merf,merf_svr,0.5517503805175037,0.08495687089552764,0.0,0.0,0.5500674089104864,0.05592097599272867,5.754027908756752,1.078850207073626,7.276831196212219,1.288704661574968,-0.492254360303209,0.3302280587889942
RADAR,RADAR GBR,Gradient Boosting Regressor,regressor,gradient_boosting,0.6020565552699229,,0.3222416812609457,,0.5371985368817939,,5.035005724384558,,5.925188543488886,,-0.04412821961450408,
RADAR,RADAR GPBoost,GPBoost,classifier,gradient_boosting,0.645758354755784,,0.242024202420242,,0.5209607637495807,,,,,,,
